X,Y,BusStopID,CreateDate,LastEditDate
1568332.9254,5181267.5549,5294,,
1568337.4196,5178639.5774,5295,,
1568338.0107,5184039.1457,5296,,
1568345.1673,5185335.3658,5297,,
1568348.5574,5185348.7534,5298,,
1568352.0911,5186878.7464,5299,,
1568357.9926,5184091.7158,5300,,
1568359.5395,5188138.1457,5301,,
1568362.1764,5178503.266,5302,,
1568373.7674,5186853.1378,5303,,
1568378.8811,5176494.6715,5304,,
1568391.2806,5183760.9783,5305,,
1568398.0813,5183776.1923,5306,,
1568410.5347,5188144.3377,5307,,
1568418.0436,5180591.3488,5308,,
1568431.4769,5180606.2719,5309,,
1568436.2987,5177416.3881,5310,,
1568436.6405,5177403.8286,5311,,
1568441.0976,5177182.4146,5312,,
1568450.4851,5184728.782,5313,,
1568456.437,5182062.5767,5314,,
1568470.741,5184228.1053,5315,,
1568472.4729,5184730.0956,5316,,
1568476.0028,5177162.4764,5317,,
1568478.9736,5176443.6205,5318,,
1568484.5905,5180360.454,5319,,
1568487.4188,5180374.2277,5320,,
1568492.6882,5182053.9728,5321,,
1568503.5528,5183595.5691,5322,,
1568507.166,5182120.9659,5323,,
1568509.9986,5184291.3936,5324,,
1568515.2828,5184319.8498,5325,,
1568530.7095,5184340.6903,5326,,
1568540.9736,5186823.7569,5327,,
1568544.0492,5175311.6601,5328,,
1568555.1679,5178668.1322,5329,,
1568556.6503,5182143.2319,5330,,
1568562.2479,5183534.8491,5331,,
1568570.9571,5175302.3792,5332,,
1568585.2212,5177524.5274,5333,,
1568585.6972,5176473.219,5334,,
1568586.2175,5177979.8958,5335,,
1568587.6832,5178713.3863,5336,,
1568596.7432,5181125.1236,5337,,
1568598.9225,5177548.2587,5338,,
1568604.1349,5180611.8005,5339,,
1568610.4548,5185320.9373,5340,,
1568612.4024,5180625.5219,5341,,
1568617.2729,5177965.1921,5342,,
1568627.447,5181949.417,5343,,
1568634.8238,5184459.3335,5344,,
1568637.6427,5181049.2821,5345,,
1568639.4938,5175762.3077,5346,,
1568640.2269,5175885.4011,5347,,
1568644.908,5184500.695,5348,,
1568654.1773,5183373.4849,5349,,
1568668.5711,5175703.8139,5350,,
1568669.1809,5181934.8627,5351,,
1568673.056,5176921.5727,5352,,
1568675.8109,5186835.5246,5353,,
1568679.8843,5176891.3735,5354,,
1568690.3563,5183345.3773,5355,,
1568694.2098,5176512.5308,5356,,
1568716.2579,5175918.0194,5357,,
1568733.4915,5177806.7716,5358,,
1568735.5308,5181787.1828,5359,,
1568764.8141,5185326.0976,5360,,
1568767.124,5183208.0189,5361,,
1568768.2846,5181753.317,5362,,
1568769.3958,5178844.3752,5363,,
1568769.6693,5177786.3713,5364,,
1568795.1009,5180917.6078,5365,,
1568803.8292,5175349.5009,5366,,
1568805.9283,5175337.416,5367,,
1568830.6259,5184740.5373,5368,,
1568830.8429,5178912.5524,5369,,
1568832.5596,5187707.7166,5370,,
1568842.9847,5183119.2111,5371,,
1568847.4889,5175400.0147,5372,,
1568851.6474,5181596.086,5373,,
1568853.9338,5181563.1226,5374,,
1568859.2741,5176544.5956,5375,,
1568860.2113,5187768.6386,5376,,
1568874.0751,5184827.321,5377,,
1568875.1855,5176542.5481,5378,,
